cid,pid,target.X,target.Y,target.Z
84,5,1,2.49,2.5
85,5,1,0.49,3.5
86,5,1,1.49,2.5
87,5,-1,1.49,2.5
88,5,-1,0.49,3.5
89,5,0,0.49,1.5
90,5,0,0.49,1.5
91,5,-1,1.49,2.5
92,5,0,2.49,2.5
93,5,0,0.49,1.5
94,5,0,1.49,3.5
95,5,1,1.49,2.5
96,5,1,0.49,1.5
97,5,-1,2.49,1.5
98,5,0,2.49,2.5
99,5,0,0.49,3.5
100,5,0,2.49,2.5
101,5,-1,2.49,3.5
102,5,-1,0.49,1.5
103,5,-1,1.49,2.5
104,5,1,2.49,3.5
105,5,-1,0.49,2.5
106,5,-1,1.49,1.5
107,5,1,1.49,3.5
108,5,1,0.49,2.5
109,5,1,2.49,2.5
110,5,0,2.49,1.5
111,5,1,1.49,2.5
112,5,0,0.49,2.5
113,5,1,0.49,1.5
114,5,-1,0.49,3.5
115,5,1,1.49,1.5
116,5,0,0.49,2.5
117,5,1,2.49,2.5
118,5,0,0.49,2.5
119,5,1,0.49,1.5
120,5,-1,0.49,2.5
121,5,-1,1.49,3.5
122,5,-1,1.49,2.5
123,5,-1,1.49,3.5
124,5,-1,2.49,1.5
125,5,0,0.49,3.5
126,5,-1,0.49,1.5
127,5,1,1.49,1.5
128,5,0,2.49,2.5
129,5,1,2.49,3.5
130,5,0,0.49,2.5
131,5,0,1.49,1.5
132,5,0,1.49,2.5
133,5,0,0.49,3.5
134,5,1,2.49,1.5
0,6,-1,1.49,3.5
1,6,0,0.49,1.5
2,6,0,0.49,1.5
3,6,1,0.49,2.5
4,6,-1,0.49,2.5
5,6,0,2.49,3.5
6,6,0,0.49,3.5
7,6,0,1.49,2.5
8,6,-1,1.49,3.5
9,6,0,0.49,3.5
10,6,0,2.49,1.5
11,6,-1,2.49,1.5
12,6,0,1.49,1.5
13,6,0,0.49,2.5
14,6,-1,2.49,2.5
15,6,1,2.49,2.5
16,6,0,0.49,2.5
17,6,-1,0.49,1.5
18,6,1,0.49,1.5
19,6,1,0.49,1.5
20,6,0,0.49,1.5
21,6,1,0.49,2.5
22,6,-1,2.49,1.5
23,6,-1,0.49,2.5
24,6,-1,2.49,2.5
25,6,1,1.49,3.5
26,6,1,2.49,2.5
27,6,1,1.49,1.5
28,6,0,2.49,1.5
29,6,1,1.49,1.5
30,6,1,0.49,1.5
31,6,-1,2.49,1.5
32,6,0,0.49,2.5
33,6,1,2.49,3.5
34,6,-1,2.49,3.5
35,6,-1,0.49,1.5
36,6,-1,0.49,2.5
37,6,0,1.49,3.5
